method,drop_fraction,n_seeds,accuracy_mean,accuracy_sd,loss_mean,loss_sd
fedavg_drop,0.0,3,0.7029520295202952,0.01118482993817537,0.6549310142245521,0.0056220226107691834
fedavg_drop,0.5,3,0.6288437884378844,0.008719217022606297,0.7019236512373456,0.014459994852533195
fedavg_drop,0.9,3,0.5802583025830259,0.013078825533909412,0.8331828002083689,0.0682240801205461
fedprox_mu0,0.0,3,0.7029520295202952,0.01118482993817537,0.6549310142245521,0.0056220226107691834
fedprox_mu0,0.5,3,0.6952644526445265,0.01028642600472185,0.6759524112685081,0.004902429496853284
fedprox_mu0,0.9,3,0.6881918819188192,0.009719237779384457,0.6960839927290189,0.003983322812543936
fedprox_mu1,0.0,3,0.7007995079950798,0.014091561177600962,0.6634017223581297,0.005985437260013599
fedprox_mu1,0.5,3,0.692189421894219,0.01069209019109084,0.6839032983779075,0.005116404742142217
fedprox_mu1,0.9,3,0.6869618696186962,0.011534439934508681,0.7030692047311987,0.004213503374183127
