method,drop_fraction,seed,round,test_accuracy,test_loss
fedavg_drop,0.0,0,0,0.026752767527675275,3.717174929231678
fedavg_drop,0.0,0,10,0.4225092250922509,1.3413084703574178
fedavg_drop,0.0,0,20,0.46586715867158673,1.5342687773751402
fedavg_drop,0.0,0,30,0.5101476014760148,1.0907392512525271
fedavg_drop,0.0,0,40,0.6107011070110702,0.9729561282405286
fedavg_drop,0.0,0,50,0.6309963099630996,0.9285921866162345
fedavg_drop,0.0,0,60,0.6439114391143912,0.8742839972297837
fedavg_drop,0.0,0,70,0.6688191881918819,0.815625633933112
fedavg_drop,0.0,0,80,0.6817343173431735,0.786994741508754
fedavg_drop,0.0,0,90,0.6881918819188192,0.7640022693058933
fedavg_drop,0.0,0,100,0.6955719557195572,0.7398019631809504
fedavg_drop,0.0,0,110,0.6808118081180812,0.7341462871842973
fedavg_drop,0.0,0,120,0.672509225092251,0.7303120808646556
fedavg_drop,0.0,0,130,0.6992619926199262,0.7186223949220744
fedavg_drop,0.0,0,140,0.6974169741697417,0.7037332831222027
fedavg_drop,0.0,0,150,0.6881918819188192,0.6937893299139635
fedavg_drop,0.0,0,160,0.6974169741697417,0.6833297268586347
fedavg_drop,0.0,0,170,0.7038745387453874,0.6722444889507525
fedavg_drop,0.0,0,180,0.6383763837638377,0.7037031874685574
fedavg_drop,0.0,0,190,0.7020295202952029,0.6620787761094935
fedavg_drop,0.0,0,200,0.7047970479704797,0.6563709764774712
fedavg_drop,0.0,1,0,0.02859778597785978,3.354093961834445
fedavg_drop,0.0,1,10,0.43726937269372695,1.408759715524491
fedavg_drop,0.0,1,20,0.4843173431734317,1.2824715172096033
fedavg_drop,0.0,1,30,0.5313653136531366,1.096032038564075
fedavg_drop,0.0,1,40,0.5738007380073801,1.0108967862896432
fedavg_drop,0.0,1,50,0.6005535055350554,0.9499614968360736
fedavg_drop,0.0,1,60,0.6356088560885609,0.888657129060764
fedavg_drop,0.0,1,70,0.6512915129151291,0.8285540612011891
fedavg_drop,0.0,1,80,0.6522140221402214,0.7997397021875099
fedavg_drop,0.0,1,90,0.6761992619926199,0.7754750929735211
fedavg_drop,0.0,1,100,0.665129151291513,0.752368038572843
fedavg_drop,0.0,1,110,0.6678966789667896,0.7430564410125936
fedavg_drop,0.0,1,120,0.6614391143911439,0.7335126132403462
fedavg_drop,0.0,1,130,0.672509225092251,0.725716588749335
fedavg_drop,0.0,1,140,0.6706642066420664,0.7085035095036316
fedavg_drop,0.0,1,150,0.6789667896678967,0.6959400327642089
fedavg_drop,0.0,1,160,0.6780442804428044,0.6889645348157764
fedavg_drop,0.0,1,170,0.6900369003690037,0.6763730276109472
fedavg_drop,0.0,1,180,0.6734317343173432,0.6832333576471311
fedavg_drop,0.0,1,190,0.6863468634686347,0.6638072272961892
fedavg_drop,0.0,1,200,0.690959409594096,0.6596930053498123
fedavg_drop,0.0,2,0,0.03690036900369004,4.299811783666757
fedavg_drop,0.0,2,10,0.4077490774907749,1.3155671870042234
fedavg_drop,0.0,2,20,0.470479704797048,1.2112036624754814
